code,name,gender,medal_type,medal_code,country,country_code,nationality,discipline,event,event_type,birth_date
1919480,OKA Shinnosuke,Male,Gold Medal,1,Japan,JPN,Japan,Artistic Gymnastics,Men's All-Around,ATH,31-10-2003
1918864,ZHANG Boheng,Male,Silver Medal,2,China,CHN,China,Artistic Gymnastics,Men's All-Around,ATH,04-03-2000
1918860,XIAO Ruoteng,Male,Bronze Medal,3,China,CHN,China,Artistic Gymnastics,Men's All-Around,ATH,30-01-1996
1940205,FOX Jessica,Female,Gold Medal,1,Australia,AUS,Australia,Canoe Slalom,Women's Canoe Single,ATH,11-06-1994
1913770,LILIK Elena,Female,Silver Medal,2,Germany,GER,Germany,Canoe Slalom,Women's Canoe Single,ATH,14-09-1998
1955132,LEIBFARTH Evy,Female,Bronze Medal,3,United States,USA,United States,Canoe Slalom,Women's Canoe Single,ATH,26-01-2004
1916809,TORRES GIL Jose,Male,Gold Medal,1,Argentina,ARG,Argentina,Cycling BMX Freestyle,Men's Park,ATH,28-03-1995
1912548,REILLY Kieran Darren David,Male,Silver Medal,2,Great Britain,GBR,Great Britain,Cycling BMX Freestyle,Men's Park,ATH,12-07-2001
1895685,JEANJEAN Anthony,Male,Bronze Medal,3,France,FRA,France,Cycling BMX Freestyle,Men's Park,ATH,13-05-1998
1920569,DENG Yawen,Female,Gold Medal,1,China,CHN,China,Cycling BMX Freestyle,Women's Park,ATH,17-10-2005
1955071,BENEGAS Perris,Female,Silver Medal,2,United States,USA,United States,Cycling BMX Freestyle,Women's Park,ATH,22-07-1995
1940118,DIEHM Natalya,Female,Bronze Medal,3,Australia,AUS,Australia,Cycling BMX Freestyle,Women's Park,ATH,23-09-1997
1548817,BEKAURI Lasha,Male,Gold Medal,1,Georgia,GEO,Georgia,Judo,Men -90 kg,HATH,26-07-2000
1896750,MURAO Sanshiro,Male,Silver Medal,2,Japan,JPN,Japan,Judo,Men -90 kg,HATH,28-08-2000
1891318,NGAYAP HAMBOU Maxime-Gael,Male,Bronze Medal,3,France,FRA,France,Judo,Men -90 kg,HATH,22-06-2001
1961318,TSELIDIS Theodoros,Male,Bronze Medal,3,Greece,GRE,Greece,Judo,Men -90 kg,HATH,05-08-1996
1898499,MATIC Barbara,Female,Gold Medal,1,Croatia,CRO,Croatia,Judo,Women -70 kg,HATH,03-12-1994
1563082,BUTKEREIT Miriam,Female,Silver Medal,2,Germany,GER,Germany,Judo,Women -70 kg,HATH,08-05-1994
1566421,POLLERES Michaela,Female,Bronze Medal,3,Austria,AUT,Austria,Judo,Women -70 kg,HATH,15-07-1997
