code,name,gender,medal_type,medal_code,country,country_code,nationality,discipline,event,event_type,birth_date
1550119,NASIBOV Parviz,Male,Silver Medal,2,Ukraine,UKR,Ukraine,Wrestling,Men's Greco-Roman 67kg,HATH,18-08-1998
1981760,JAFAROV Hasrat,Male,Bronze Medal,3,Azerbaijan,AZE,Azerbaijan,Wrestling,Men's Greco-Roman 67kg,HATH,05-10-2002
1571498,ORTA SANCHEZ Luis Alberto,Male,Bronze Medal,3,Cuba,CUB,Cuba,Wrestling,Men's Greco-Roman 67kg,HATH,22-08-1994
1559471,NOVIKOV Semen Sergeevich,Male,Gold Medal,1,Bulgaria,BUL,Bulgaria,Wrestling,Men's Greco-Roman 87kg,HATH,11-12-1997
1544880,MOHMADIPIANI Alireza,Male,Silver Medal,2,IR Iran,IRI,IR Iran,Wrestling,Men's Greco-Roman 87kg,HATH,30-10-2002
1550116,BELENIUK Zhan,Male,Bronze Medal,3,Ukraine,UKR,Ukraine,Wrestling,Men's Greco-Roman 87kg,HATH,24-01-1991
1879518,BISULTANOV Turpal Ali,Male,Bronze Medal,3,Denmark,DEN,Denmark,Wrestling,Men's Greco-Roman 87kg,HATH,14-10-2001
1939711,FUJINAMI Akari,Female,Gold Medal,1,Japan,JPN,Japan,Wrestling,Women's Freestyle 53kg,HATH,11-11-2003
1960228,YEPEZ GUZMAN Lucia Yamileth,Female,Silver Medal,2,Ecuador,ECU,Ecuador,Wrestling,Women's Freestyle 53kg,HATH,18-02-2001
1980149,CHOE Hyo Gyong,Female,Bronze Medal,3,DPR Korea,PRK,DPR Korea,Wrestling,Women's Freestyle 53kg,HATH,10-05-2000
1920006,PANG Qianyu,Female,Bronze Medal,3,China,CHN,China,Wrestling,Women's Freestyle 53kg,HATH,13-11-1996
1960684,BENJAMIN Rai,Male,Gold Medal,1,United States,USA,United States,Athletics,Men's 400m Hurdles,ATH,27-07-1997
1894095,WARHOLM Karsten,Male,Silver Medal,2,Norway,NOR,Norway,Athletics,Men's 400m Hurdles,ATH,28-02-1996
1951913,dos SANTOS Alison,Male,Bronze Medal,3,Brazil,BRA,Brazil,Athletics,Men's 400m Hurdles,ATH,03-06-2000
1904099,DIAZ FORTUN Jordan Alejandro,Male,Gold Medal,1,Spain,ESP,Spain,Athletics,Men's Triple Jump,ATH,23-02-2001
1938792,PICHARDO Pedro,Male,Silver Medal,2,Portugal,POR,Portugal,Athletics,Men's Triple Jump,ATH,30-06-1993
1552375,DIAZ HERNANDEZ Andy,Male,Bronze Medal,3,Italy,ITA,Italy,Athletics,Men's Triple Jump,ATH,25-12-1995
1910560,CHEBET Beatrice,Female,Gold Medal,1,Kenya,KEN,Kenya,Athletics,"Women's 10,000m",ATH,05-03-2000
1552305,BATTOCLETTI Nadia,Female,Silver Medal,2,Italy,ITA,Italy,Athletics,"Women's 10,000m",ATH,12-04-2000
1972105,HASSAN Sifan,Female,Bronze Medal,3,Netherlands,NED,Netherlands,Athletics,"Women's 10,000m",ATH,01-01-1993
1899666,PAULINO Marileidy,Female,Gold Medal,1,Dominican Republic,DOM,Dominican Republic,Athletics,Women's 400m,ATH,25-10-1996
1915338,NASER Salwa Eid,Female,Silver Medal,2,Bahrain,BRN,Bahrain,Athletics,Women's 400m,ATH,23-05-1998
1573098,KACZMAREK Natalia,Female,Bronze Medal,3,Poland,POL,Poland,Athletics,Women's 400m,ATH,17-01-1998
1920183,OGUNLEYE Yemisi,Female,Gold Medal,1,Germany,GER,Germany,Athletics,Women's Shot Put,ATH,03-10-1998
1926695,WESCHE Maddison-Lee,Female,Silver Medal,2,New Zealand,NZL,New Zealand,Athletics,Women's Shot Put,ATH,13-06-1999
1919065,SONG Jiayuan,Female,Bronze Medal,3,China,CHN,China,Athletics,Women's Shot Put,ATH,15-09-1997
1556797,MUYDINKHUJAEV Asadkhuja,Male,Gold Medal,1,Uzbekistan,UZB,Uzbekistan,Boxing,Men's 71kg,HATH,08-05-2001
1535187,VERDE ALVAREZ Marco Alonso,Male,Silver Medal,2,Mexico,MEX,Mexico,Boxing,Men's 71kg,HATH,11-02-2002
1556860,MULLOJONOV Lazizbek,Male,Gold Medal,1,Uzbekistan,UZB,Uzbekistan,Boxing,Men's 92kg,HATH,13-05-1999
1972343,ALFONSO DOMINGUEZ Loren Berto,Male,Silver Medal,2,Azerbaijan,AZE,Azerbaijan,Boxing,Men's 92kg,HATH,28-07-1995
1926833,WU Yu,Female,Gold Medal,1,China,CHN,China,Boxing,Women's 50kg,HATH,13-01-1995
1568182,CAKIROGLU Buse Naz,Female,Silver Medal,2,Türkiye,TUR,Türkiye,Boxing,Women's 50kg,HATH,26-05-1996
1540353,KHELIF Imane,Female,Gold Medal,1,Algeria,ALG,Algeria,Boxing,Women's 66kg,HATH,02-05-1999
1926827,YANG Liu,Female,Silver Medal,2,China,CHN,China,Boxing,Women's 66kg,HATH,20-05-1992
1953038,AMI,Female,Gold Medal,1,Japan,JPN,Japan,Breaking,B-Girls,HATH,11-12-1998
1924559,NICKA,Female,Silver Medal,2,Lithuania,LTU,Lithuania,Breaking,B-Girls,HATH,08-06-2007
1909907,671,Female,Bronze Medal,3,China,CHN,China,Breaking,B-Girls,HATH,19-10-2005
1878716,FUKSA Martin,Male,Gold Medal,1,Czechia,CZE,Czechia,Canoe Sprint,Men's Canoe Single 1000m,ATH,30-04-1993
1952595,QUEIROZ Isaquias,Male,Silver Medal,2,Brazil,BRA,Brazil,Canoe Sprint,Men's Canoe Single 1000m,ATH,03-01-1994
1550295,TARNOVSCHI Serghei,Male,Bronze Medal,3,Republic of Moldova,MDA,Republic of Moldova,Canoe Sprint,Men's Canoe Single 1000m,ATH,24-06-1997
1969182,LAVREYSEN Harrie,Male,Gold Medal,1,Netherlands,NED,Netherlands,Cycling Track,Men's Sprint,ATH,14-03-1997
1940263,RICHARDSON Matthew,Male,Silver Medal,2,Australia,AUS,Australia,Cycling Track,Men's Sprint,ATH,17-04-1999
1912515,CARLIN Jack,Male,Bronze Medal,3,Great Britain,GBR,Great Britain,Cycling Track,Men's Sprint,ATH,23-04-1997
1901538,CHEN Yiwen,Female,Gold Medal,1,China,CHN,China,Diving,Women's 3m Springboard,ATH,15-06-1999
1940414,KEENEY Maddison,Female,Silver Medal,2,Australia,AUS,Australia,Diving,Women's 3m Springboard,ATH,23-05-1996
1901539,CHANG Yani,Female,Bronze Medal,3,China,CHN,China,Diving,Women's 3m Springboard,ATH,07-12-2001
1909030,RASOVSZKY Kristof,Male,Gold Medal,1,Hungary,HUN,Hungary,Marathon Swimming,Men's 10km,ATH,27-03-1997
1907234,KLEMET Oliver,Male,Silver Medal,2,Germany,GER,Germany,Marathon Swimming,Men's 10km,ATH,18-03-2002
1902450,BETLEHEM David,Male,Bronze Medal,3,Hungary,HUN,Hungary,Marathon Swimming,Men's 10km,ATH,04-09-2003
1566437,BONTUS Valentin,Male,Gold Medal,1,Austria,AUT,Austria,Sailing,Men's Kite,ATH,01-02-2001
1981549,VODISEK Toni,Male,Silver Medal,2,Slovenia,SLO,Slovenia,Sailing,Men's Kite,ATH,07-06-2000
1535852,MAEDER Maximilian,Male,Bronze Medal,3,Singapore,SGP,Singapore,Sailing,Men's Kite,ATH,12-09-2006
1544218,ROBERTS Toby,Male,Gold Medal,1,Great Britain,GBR,Great Britain,Sport Climbing,Men's Boulder & Lead,ATH,15-03-2005
1892022,ANRAKU Sorato,Male,Silver Medal,2,Japan,JPN,Japan,Sport Climbing,Men's Boulder & Lead,ATH,14-11-2006
1560677,SCHUBERT Jakob,Male,Bronze Medal,3,Austria,AUT,Austria,Sport Climbing,Men's Boulder & Lead,ATH,31-12-1990
1947737,KATOUSSI Firas,Male,Gold Medal,1,Tunisia,TUN,Tunisia,Taekwondo,Men -80kg,HATH,06-09-1995
1536058,BARKHORDARI Mehran,Male,Silver Medal,2,IR Iran,IRI,IR Iran,Taekwondo,Men -80kg,HATH,26-07-2000
1929685,ALESSIO Simone,Male,Bronze Medal,3,Italy,ITA,Italy,Taekwondo,Men -80kg,HATH,14-04-2000
1914832,HRNIC Edi,Male,Bronze Medal,3,Denmark,DEN,Denmark,Taekwondo,Men -80kg,HATH,26-12-2003
1572318,MARTON Viviana,Female,Gold Medal,1,Hungary,HUN,Hungary,Taekwondo,Women -67kg,HATH,16-02-2006
1956372,PERISIC Aleksandra,Female,Silver Medal,2,Serbia,SRB,Serbia,Taekwondo,Women -67kg,HATH,02-07-2002
1930773,TEACHOUT Kristina,Female,Bronze Medal,3,United States,USA,United States,Taekwondo,Women -67kg,HATH,13-09-2005
1903284,CHAARI Sarah,Female,Bronze Medal,3,Belgium,BEL,Belgium,Taekwondo,Women -67kg,HATH,02-05-2005
1903011,NASAR Karlos May,Male,Gold Medal,1,Bulgaria,BUL,Bulgaria,Weightlifting,Men's 89kg,ATH,12-05-2004
1543506,LOPEZ Yeison,Male,Silver Medal,2,Colombia,COL,Colombia,Weightlifting,Men's 89kg,ATH,01-09-1999
1568724,PIZZOLATO Antonino,Male,Bronze Medal,3,Italy,ITA,Italy,Weightlifting,Men's 89kg,ATH,20-08-1996
1917154,REEVES Olivia,Female,Gold Medal,1,United States,USA,United States,Weightlifting,Women's 71kg,ATH,19-04-2003
1543509,SANCHEZ Mari Leivis,Female,Silver Medal,2,Colombia,COL,Colombia,Weightlifting,Women's 71kg,ATH,08-10-1991
1940300,PALACIOS DAJOMES Angie Paola,Female,Bronze Medal,3,Ecuador,ECU,Ecuador,Weightlifting,Women's 71kg,ATH,12-09-2000
1939714,HIGUCHI Rei,Male,Gold Medal,1,Japan,JPN,Japan,Wrestling,Men's Freestyle 57kg,HATH,28-01-1996
1955415,LEE Spencer Richard,Male,Silver Medal,2,United States,USA,United States,Wrestling,Men's Freestyle 57kg,HATH,14-10-1998
1931496,AMAN Aman,Male,Bronze Medal,3,India,IND,India,Wrestling,Men's Freestyle 57kg,HATH,16-07-2003
1562157,ABDULLAEV Gulomjon,Male,Bronze Medal,3,Uzbekistan,UZB,Uzbekistan,Wrestling,Men's Freestyle 57kg,HATH,11-11-1998
1556873,RAMAZANOV Magomed Eldarovitch,Male,Gold Medal,1,Bulgaria,BUL,Bulgaria,Wrestling,Men's Freestyle 86kg,HATH,22-05-1993
1544803,YAZDANICHARATI Hassan,Male,Silver Medal,2,IR Iran,IRI,IR Iran,Wrestling,Men's Freestyle 86kg,HATH,26-12-1994
1955300,BROOKS Aaron Marquel,Male,Bronze Medal,3,United States,USA,United States,Wrestling,Men's Freestyle 86kg,HATH,15-06-2000
1963800,KURUGLIEV Dauren,Male,Bronze Medal,3,Greece,GRE,Greece,Wrestling,Men's Freestyle 86kg,HATH,12-07-1992
1939710,SAKURAI Tsugumi,Female,Gold Medal,1,Japan,JPN,Japan,Wrestling,Women's Freestyle 57kg,HATH,03-09-2001
1572203,NICHITA Anastasia,Female,Silver Medal,2,Republic of Moldova,MDA,Republic of Moldova,Wrestling,Women's Freestyle 57kg,HATH,19-02-1999
1955426,MAROULIS Helen Louise,Female,Bronze Medal,3,United States,USA,United States,Wrestling,Women's Freestyle 57kg,HATH,19-09-1991
1920010,HONG Kexin,Female,Bronze Medal,3,China,CHN,China,Wrestling,Women's Freestyle 57kg,HATH,06-01-2003
1898250,INGEBRIGTSEN Jakob,Male,Gold Medal,1,Norway,NOR,Norway,Athletics,Men's 5000m,ATH,19-09-2000
1963077,KWEMOI Ronald,Male,Silver Medal,2,Kenya,KEN,Kenya,Athletics,Men's 5000m,ATH,19-09-1995
1960959,FISHER Grant,Male,Bronze Medal,3,United States,USA,United States,Athletics,Men's 5000m,ATH,22-04-1997
1910412,WANYONYI Emmanuel,Male,Gold Medal,1,Kenya,KEN,Kenya,Athletics,Men's 800m,ATH,01-08-2004
1974048,AROP Marco,Male,Silver Medal,2,Canada,CAN,Canada,Athletics,Men's 800m,ATH,20-09-1998
1963520,SEDJATI Djamel,Male,Bronze Medal,3,Algeria,ALG,Algeria,Athletics,Men's 800m,ATH,03-05-1999
1926713,KERR Hamish,Male,Gold Medal,1,New Zealand,NZL,New Zealand,Athletics,Men's High Jump,ATH,17-08-1996
1965306,McEWEN Shelby,Male,Silver Medal,2,United States,USA,United States,Athletics,Men's High Jump,ATH,06-04-1996
1566681,BARSHIM Mutaz Essa,Male,Bronze Medal,3,Qatar,QAT,Qatar,Athletics,Men's High Jump,ATH,24-06-1991
1901284,TOLA Tamirat,Male,Gold Medal,1,Ethiopia,ETH,Ethiopia,Athletics,Men's Marathon,ATH,11-08-1991
1942753,ABDI Bashir,Male,Silver Medal,2,Belgium,BEL,Belgium,Athletics,Men's Marathon,ATH,10-02-1989
1910555,KIPRUTO Benson,Male,Bronze Medal,3,Kenya,KEN,Kenya,Athletics,Men's Marathon,ATH,17-03-1991
1960169,RUSSELL Masai,Female,Gold Medal,1,United States,USA,United States,Athletics,Women's 100m Hurdles,ATH,17-06-2000
1911932,SAMBA-MAYELA Cyrena,Female,Silver Medal,2,France,FRA,France,Athletics,Women's 100m Hurdles,ATH,31-10-2000
1537183,CAMACHO-QUINN Jasmine,Female,Bronze Medal,3,Puerto Rico,PUR,United States,Athletics,Women's 100m Hurdles,ATH,21-08-1996
1910451,KIPYEGON Faith,Female,Gold Medal,1,Kenya,KEN,Kenya,Athletics,Women's 1500m,ATH,10-01-1994
1939795,HULL Jessica,Female,Silver Medal,2,Australia,AUS,Australia,Athletics,Women's 1500m,ATH,22-10-1996
1956840,BELL Georgia,Female,Bronze Medal,3,Great Britain,GBR,Great Britain,Athletics,Women's 1500m,ATH,17-10-1993
1919914,KITAGUCHI Haruka,Female,Gold Medal,1,Japan,JPN,Japan,Athletics,Women's Javelin Throw,ATH,16-03-1998
1981085,van DYK Jo-Ane,Female,Silver Medal,2,South Africa,RSA,South Africa,Athletics,Women's Javelin Throw,ATH,03-10-1997
1892137,OGRODNIKOVA Nikola,Female,Bronze Medal,3,Czechia,CZE,,Athletics,Women's Javelin Throw,ATH,18-08-1990
1556869,JALOLOV Bakhodir,Male,Gold Medal,1,Uzbekistan,UZB,Uzbekistan,Boxing,Men's +92kg,HATH,08-07-1994
1934775,GHADFA DRISSI EL AISSAOUI Ayoub,Male,Silver Medal,2,Spain,ESP,Spain,Boxing,Men's +92kg,HATH,06-12-1998
1556049,KHALOKOV Abdumalik,Male,Gold Medal,1,Uzbekistan,UZB,Uzbekistan,Boxing,Men's 57kg,HATH,09-04-2000
1878687,SEIITBEK UULU Munarbek,Male,Silver Medal,2,Kyrgyzstan,KGZ,Kyrgyzstan,Boxing,Men's 57kg,HATH,01-01-1996
1887963,LIN Yu Ting,Female,Gold Medal,1,Chinese Taipei,TPE,Chinese Taipei,Boxing,Women's 57kg,HATH,13-12-1995
1568655,SZEREMETA Julia,Female,Silver Medal,2,Poland,POL,Poland,Boxing,Women's 57kg,HATH,24-08-2003
1926826,LI Qian,Female,Gold Medal,1,China,CHN,China,Boxing,Women's 75kg,HATH,06-06-1990
1965679,BYLON Atheyna Bibeichi,Female,Silver Medal,2,Panama,PAN,Panama,Boxing,Women's 75kg,HATH,06-04-1989
1958888,PHIL WIZARD,Male,Gold Medal,1,Canada,CAN,Canada,Breaking,B-Boys,HATH,25-01-1997
1880191,DANY DANN,Male,Silver Medal,2,France,FRA,France,Breaking,B-Boys,HATH,03-05-1988
1955590,VICTOR,Male,Bronze Medal,3,United States,USA,United States,Breaking,B-Boys,HATH,01-05-1994
1878715,DOSTAL Josef,Male,Gold Medal,1,Czechia,CZE,Czechia,Canoe Sprint,Men's Kayak Single 1000m,ATH,03-03-1993
1570863,VARGA Adam,Male,Silver Medal,2,Hungary,HUN,Hungary,Canoe Sprint,Men's Kayak Single 1000m,ATH,20-11-1999
1569972,KOPASZ Balint,Male,Bronze Medal,3,Hungary,HUN,Hungary,Canoe Sprint,Men's Kayak Single 1000m,ATH,20-06-1997
1964547,VINCENT Katie,Female,Gold Medal,1,Canada,CAN,Canada,Canoe Sprint,Women's Canoe Single 200m,ATH,12-03-1996
1955126,HARRISON Nevin,Female,Silver Medal,2,United States,USA,United States,Canoe Sprint,Women's Canoe Single 200m,ATH,02-06-2002
1564506,CIRILO DUBOYS Yarisleidis,Female,Bronze Medal,3,Cuba,CUB,Cuba,Canoe Sprint,Women's Canoe Single 200m,ATH,10-05-2002
1945383,CARRINGTON Lisa,Female,Gold Medal,1,New Zealand,NZL,New Zealand,Canoe Sprint,Women's Kayak Single 500m,ATH,23-06-1989
1568350,CSIPES Tamara,Female,Silver Medal,2,Hungary,HUN,Hungary,Canoe Sprint,Women's Kayak Single 500m,ATH,24-08-1989
1892423,JORGENSEN Emma Aastrand,Female,Bronze Medal,3,Denmark,DEN,Denmark,Canoe Sprint,Women's Kayak Single 500m,ATH,30-01-1996
1901556,CAO Yuan,Male,Gold Medal,1,China,CHN,China,Diving,Men's 10m Platform,ATH,07-02-1995
1891685,TAMAI Rikuto,Male,Silver Medal,2,Japan,JPN,Japan,Diving,Men's 10m Platform,ATH,11-09-2006
1900857,WILLIAMS Noah,Male,Bronze Medal,3,Great Britain,GBR,Great Britain,Diving,Men's 10m Platform,ATH,15-05-2000
1939553,KO Lydia,Female,Gold Medal,1,New Zealand,NZL,New Zealand,Golf,Women's Individual Stroke Play,ATH,24-04-1997
1892506,HENSELEIT Esther,Female,Silver Medal,2,Germany,GER,Germany,Golf,Women's Individual Stroke Play,ATH,14-01-1999
1913218,LIN Xiyu Janet,Female,Bronze Medal,3,China,CHN,China,Golf,Women's Individual Stroke Play,ATH,25-02-1996
1932649,ELGENDY Ahmed,Male,Gold Medal,1,Egypt,EGY,Egypt,Modern Pentathlon,Men's Individual,ATH,01-03-2000
1887939,SATO Taishu,Male,Silver Medal,2,Japan,JPN,Japan,Modern Pentathlon,Men's Individual,ATH,20-10-1993
1553031,MALAN Giorgio,Male,Bronze Medal,3,Italy,ITA,Italy,Modern Pentathlon,Men's Individual,ATH,27-01-2000
1981131,GARNBRET Janja,Female,Gold Medal,1,Slovenia,SLO,Slovenia,Sport Climbing,Women's Boulder & Lead,ATH,12-03-1999
1950307,RABOUTOU Brooke,Female,Silver Medal,2,United States,USA,United States,Sport Climbing,Women's Boulder & Lead,ATH,09-04-2001
1560673,PILZ Jessica,Female,Bronze Medal,3,Austria,AUT,Austria,Sport Climbing,Women's Boulder & Lead,ATH,22-11-1996
1536045,SALIMI Arian,Male,Gold Medal,1,IR Iran,IRI,IR Iran,Taekwondo,Men +80kg,HATH,16-12-2003
1896149,CUNNINGHAM Caden,Male,Silver Medal,2,Great Britain,GBR,Great Britain,Taekwondo,Men +80kg,HATH,07-05-2003
1897088,ALBA Rafael,Male,Bronze Medal,3,Cuba,CUB,Cuba,Taekwondo,Men +80kg,HATH,12-08-1993
1548401,CISSE Cheick Sallah,Male,Bronze Medal,3,Côte d'Ivoire,CIV,Côte d'Ivoire,Taekwondo,Men +80kg,HATH,19-09-1993
1893272,LAURIN Althea,Female,Gold Medal,1,France,FRA,France,Taekwondo,Women +67kg,HATH,01-09-2001
1887768,OSIPOVA Svetlana,Female,Silver Medal,2,Uzbekistan,UZB,Uzbekistan,Taekwondo,Women +67kg,HATH,03-05-2000
1904039,LEE Dabin,Female,Bronze Medal,3,Korea,KOR,Korea,Taekwondo,Women +67kg,HATH,07-12-1996
1566738,KUS AYDIN Nafia,Female,Bronze Medal,3,Türkiye,TUR,Türkiye,Taekwondo,Women +67kg,HATH,20-02-1995
1551443,TALAKHADZE Lasha,Male,Gold Medal,1,Georgia,GEO,Georgia,Weightlifting,Men's +102kg,ATH,02-10-1993
1544424,LALAYAN Varazdat,Male,Silver Medal,2,Armenia,ARM,Armenia,Weightlifting,Men's +102kg,ATH,01-05-1999
1540334,MINASYAN Gor,Male,Bronze Medal,3,Bahrain,BRN,Bahrain,Weightlifting,Men's +102kg,ATH,25-10-1994
1918369,LIU Huanhua,Male,Gold Medal,1,China,CHN,China,Weightlifting,Men's 102kg,ATH,20-08-2001
1551307,DJURAEV Akbar,Male,Silver Medal,2,Uzbekistan,UZB,Uzbekistan,Weightlifting,Men's 102kg,ATH,08-10-1999
1569832,TSIKHANTSOU Yauheni,Male,Bronze Medal,3,AIN,AIN,Belarus,Weightlifting,Men's 102kg,ATH,04-11-1998
1878625,KOANDA Solfrid Eila Amena,Female,Gold Medal,1,Norway,NOR,Norway,Weightlifting,Women's 81kg,ATH,13-11-1998
1563010,AHMED Sara,Female,Silver Medal,2,Egypt,EGY,Egypt,Weightlifting,Women's 81kg,ATH,01-01-1998
1940308,DAJOMES BARRERA Neisi Patricia,Female,Bronze Medal,3,Ecuador,ECU,Ecuador,Weightlifting,Women's 81kg,ATH,12-05-1998
1554885,PETRIASHVILI Geno,Male,Gold Medal,1,Georgia,GEO,Georgia,Wrestling,Men's Freestyle 125kg,HATH,01-04-1994
1543088,ZARE Amir Hossein,Male,Silver Medal,2,IR Iran,IRI,IR Iran,Wrestling,Men's Freestyle 125kg,HATH,16-01-2001
1570546,AKGUL Taha,Male,Bronze Medal,3,Türkiye,TUR,Türkiye,Wrestling,Men's Freestyle 125kg,HATH,22-11-1990
1947172,MESHVILDISHVILI Giorgi,Male,Bronze Medal,3,Azerbaijan,AZE,Azerbaijan,Wrestling,Men's Freestyle 125kg,HATH,13-05-1992
1562164,JAMALOV Razambek Salambekovitch,Male,Gold Medal,1,Uzbekistan,UZB,Uzbekistan,Wrestling,Men's Freestyle 74kg,HATH,01-06-1998
1939708,TAKATANI Daichi,Male,Silver Medal,2,Japan,JPN,Japan,Wrestling,Men's Freestyle 74kg,HATH,22-11-1994
1955345,DAKE Kyle Douglas,Male,Bronze Medal,3,United States,USA,United States,Wrestling,Men's Freestyle 74kg,HATH,25-02-1991
3429662,VALIEV Chermen,Male,Bronze Medal,3,Albania,ALB,Albania,Wrestling,Men's Freestyle 74kg,HATH,10-12-1998
1939702,MOTOKI Sakura,Female,Gold Medal,1,Japan,JPN,Japan,Wrestling,Women's Freestyle 62kg,HATH,20-02-2002
1897022,KOLIADENKO Iryna,Female,Silver Medal,2,Ukraine,UKR,Ukraine,Wrestling,Women's Freestyle 62kg,HATH,28-08-1998
1902786,TYNYBEKOVA Aisuluu,Female,Bronze Medal,3,Kyrgyzstan,KGZ,Kyrgyzstan,Wrestling,Women's Freestyle 62kg,HATH,04-05-1993
1878635,BULLEN Grace Jacob,Female,Bronze Medal,3,Norway,NOR,Norway,Wrestling,Women's Freestyle 62kg,HATH,07-02-1997
1972105,HASSAN Sifan,Female,Gold Medal,1,Netherlands,NED,Netherlands,Athletics,Women's Marathon,ATH,01-01-1993
1901487,ASSEFA Tigst,Female,Silver Medal,2,Ethiopia,ETH,Ethiopia,Athletics,Women's Marathon,ATH,03-12-1996
1932851,OBIRI Hellen,Female,Bronze Medal,3,Kenya,KEN,Kenya,Athletics,Women's Marathon,ATH,13-12-1989
1969182,LAVREYSEN Harrie,Male,Gold Medal,1,Netherlands,NED,Netherlands,Cycling Track,Men's Keirin,ATH,14-03-1997
1940263,RICHARDSON Matthew,Male,Silver Medal,2,Australia,AUS,Australia,Cycling Track,Men's Keirin,ATH,17-04-1999
1940262,GLAETZER Matthew,Male,Bronze Medal,3,Australia,AUS,Australia,Cycling Track,Men's Keirin,ATH,24-08-1992
1955106,VALENTE Jennifer,Female,Gold Medal,1,United States,USA,United States,Cycling Track,Women's Omnium,ATH,24-12-1994
1572953,PIKULIK Daria,Female,Silver Medal,2,Poland,POL,Poland,Cycling Track,Women's Omnium,ATH,06-01-1997
1945080,WOLLASTON Ally,Female,Bronze Medal,3,New Zealand,NZL,New Zealand,Cycling Track,Women's Omnium,ATH,04-01-2001
1945040,ANDREWS Ellesse,Female,Gold Medal,1,New Zealand,NZL,New Zealand,Cycling Track,Women's Sprint,ATH,31-12-1999
1889704,FRIEDRICH Lea,Female,Silver Medal,2,Germany,GER,Germany,Cycling Track,Women's Sprint,ATH,07-01-2000
1912522,FINUCANE Emma,Female,Bronze Medal,3,Great Britain,GBR,Great Britain,Cycling Track,Women's Sprint,ATH,22-12-2002
1936619,GULYAS Michelle,Female,Gold Medal,1,Hungary,HUN,Hungary,Modern Pentathlon,Women's Individual,ATH,24-10-2000
1545116,CLOUVEL Elodie,Female,Silver Medal,2,France,FRA,France,Modern Pentathlon,Women's Individual,ATH,14-01-1989
1786902,SEONG Seungmin,Female,Bronze Medal,3,Korea,KOR,Korea,Modern Pentathlon,Women's Individual,ATH,13-05-2003
1918376,LI Wenwen,Female,Gold Medal,1,China,CHN,China,Weightlifting,Women's +81kg,ATH,05-03-2000
1894414,PARK Hyejeong,Female,Silver Medal,2,Korea,KOR,Korea,Weightlifting,Women's +81kg,ATH,12-03-2003
1544179,CAMPBELL Emily,Female,Bronze Medal,3,Great Britain,GBR,Great Britain,Weightlifting,Women's +81kg,ATH,06-05-1994
1939700,KIYOOKA Kotaro,Male,Gold Medal,1,Japan,JPN,Japan,Wrestling,Men's Freestyle 65kg,HATH,12-04-2001
1544830,AMOUZADKHALILI Rahman,Male,Silver Medal,2,IR Iran,IRI,IR Iran,Wrestling,Men's Freestyle 65kg,HATH,17-07-2002
1537188,RIVERA Sebastian C,Male,Bronze Medal,3,Puerto Rico,PUR,United States,Wrestling,Men's Freestyle 65kg,HATH,27-08-1998
1559387,DUDAEV Islam,Male,Bronze Medal,3,Albania,ALB,Albania,Wrestling,Men's Freestyle 65kg,HATH,15-01-1995
1540305,TAZHUDINOV Akhmed,Male,Gold Medal,1,Bahrain,BRN,Bahrain,Wrestling,Men's Freestyle 97kg,HATH,25-01-2003
1552495,MATCHARASHVILI Givi,Male,Silver Medal,2,Georgia,GEO,Georgia,Wrestling,Men's Freestyle 97kg,HATH,17-05-1997
1981785,MAGOMEDOV Magomedkhan,Male,Bronze Medal,3,Azerbaijan,AZE,Azerbaijan,Wrestling,Men's Freestyle 97kg,HATH,27-01-1998
1543095,AZARPIRA Amirali,Male,Bronze Medal,3,IR Iran,IRI,IR Iran,Wrestling,Men's Freestyle 97kg,HATH,26-03-2002
1939701,KAGAMI Yuka,Female,Gold Medal,1,Japan,JPN,Japan,Wrestling,Women's Freestyle 76kg,HATH,14-09-2001
1955344,BLADES Kennedy Alexis,Female,Silver Medal,2,United States,USA,United States,Wrestling,Women's Freestyle 76kg,HATH,04-09-2003
1571936,MARIN POTRILLE Milaimy de la Carid,Female,Bronze Medal,3,Cuba,CUB,Cuba,Wrestling,Women's Freestyle 76kg,HATH,16-03-2001
1535513,RENTERIA RENTERIA Tatiana,Female,Bronze Medal,3,Colombia,COL,Colombia,Wrestling,Women's Freestyle 76kg,HATH,22-12-2000
1896230,VARFOLOMEEV Darja,Female,Gold Medal,1,Germany,GER,Germany,Rhythmic Gymnastics,Individual All-Around,ATH,04-11-2006
1548948,KALEYN Boryana,Female,Silver Medal,2,Bulgaria,BUL,Bulgaria,Rhythmic Gymnastics,Individual All-Around,ATH,23-08-2000
1923694,RAFFAELI Sofia,Female,Bronze Medal,3,Italy,ITA,Italy,Rhythmic Gymnastics,Individual All-Around,ATH,19-01-2004
1903112,THIAM Nafissatou,Female,Gold Medal,1,Belgium,BEL,Belgium,Athletics,Women's Heptathlon,ATH,19-08-1994
1977926,JOHNSON-THOMPSON Katarina,Female,Silver Medal,2,Great Britain,GBR,Great Britain,Athletics,Women's Heptathlon,ATH,09-01-1993
1895596,VIDTS Noor,Female,Bronze Medal,3,Belgium,BEL,Belgium,Athletics,Women's Heptathlon,ATH,30-05-1996
,CHANG Yani,Female,Gold Medal,1,China,CHN,China,Diving,Women's Synchronised 3m Springboard,TEAM,07-12-2001
,CHEN Yiwen,Female,Gold Medal,1,China,CHN,China,Diving,Women's Synchronised 3m Springboard,TEAM,15-06-1999
