medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type
Gold Medal,1,03-08-2024,Rhys MC CLENAGHAN,IRL,M,Artistic Gymnastics,Men's Pommel Horse,ATH
Silver Medal,2,03-08-2024,Nariman KURBANOV,KAZ,M,Artistic Gymnastics,Men's Pommel Horse,ATH
Bronze Medal,3,03-08-2024,Stephen NEDOROSCIK,USA,M,Artistic Gymnastics,Men's Pommel Horse,ATH
Gold Medal,1,03-08-2024,Simone BILES,USA,W,Artistic Gymnastics,Women's Vault,ATH
Silver Medal,2,03-08-2024,Rebeca ANDRADE,BRA,W,Artistic Gymnastics,Women's Vault,ATH
Bronze Medal,3,03-08-2024,Jade CAREY,USA,W,Artistic Gymnastics,Women's Vault,ATH
Gold Medal,1,03-08-2024,Netherlands,NED,X,Athletics,4 x 400m Relay Mixed,TEAM
Silver Medal,2,03-08-2024,United States,USA,X,Athletics,4 x 400m Relay Mixed,TEAM
Bronze Medal,3,03-08-2024,Great Britain,GBR,X,Athletics,4 x 400m Relay Mixed,TEAM
Gold Medal,1,03-08-2024,Markus ROOTH,NOR,M,Athletics,Men's Decathlon,ATH
Silver Medal,2,03-08-2024,Leo NEUGEBAUER,GER,M,Athletics,Men's Decathlon,ATH
Bronze Medal,3,03-08-2024,Lindon VICTOR,GRN,M,Athletics,Men's Decathlon,ATH
Gold Medal,1,03-08-2024,Ryan CROUSER,USA,M,Athletics,Men's Shot Put,ATH
Silver Medal,2,03-08-2024,Joe KOVACS,USA,M,Athletics,Men's Shot Put,ATH
Bronze Medal,3,03-08-2024,Rajindra CAMPBELL,JAM,M,Athletics,Men's Shot Put,ATH
Gold Medal,1,03-08-2024,Julien ALFRED,LCA,W,Athletics,Women's 100m,ATH
Silver Medal,2,03-08-2024,Sha'carri RICHARDSON,USA,W,Athletics,Women's 100m,ATH
Bronze Medal,3,03-08-2024,Melissa JEFFERSON,USA,W,Athletics,Women's 100m,ATH
Gold Medal,1,03-08-2024,Thea LAFOND,DMA,W,Athletics,Women's Triple Jump,ATH
Silver Medal,2,03-08-2024,Shanieka RICKETTS,JAM,W,Athletics,Women's Triple Jump,ATH
Bronze Medal,3,03-08-2024,Jasmine MOORE,USA,W,Athletics,Women's Triple Jump,ATH
Gold Medal,1,03-08-2024,CHEN/JIA,CHN,W,Badminton,Women's Doubles,HCOUP
Silver Medal,2,03-08-2024,LIU/TAN,CHN,W,Badminton,Women's Doubles,HCOUP
Bronze Medal,3,03-08-2024,MATSUYAMA/SHIDA,JPN,W,Badminton,Women's Doubles,HCOUP
Bronze Medal,3,03-08-2024,WU Shih Yi,TPE,W,Boxing,Women's 60kg,HATH
Bronze Medal,3,03-08-2024,Beatriz Iasmin SOARES FERREIRA,BRA,W,Boxing,Women's 60kg,HATH
Gold Medal,1,03-08-2024,Remco EVENEPOEL,BEL,M,Cycling Road,Men's Road Race,ATH
Silver Medal,2,03-08-2024,Valentin MADOUAS,FRA,M,Cycling Road,Men's Road Race,ATH
Bronze Medal,3,03-08-2024,Christophe LAPORTE,FRA,M,Cycling Road,Men's Road Race,ATH
Gold Medal,1,03-08-2024,Germany,GER,O,Equestrian,Dressage Team,TEAM
Silver Medal,2,03-08-2024,Denmark,DEN,O,Equestrian,Dressage Team,TEAM
Bronze Medal,3,03-08-2024,Great Britain,GBR,O,Equestrian,Dressage Team,TEAM
Gold Medal,1,03-08-2024,Ukraine,UKR,W,Fencing,Women's Sabre Team,HTEAM
Silver Medal,2,03-08-2024,Korea,KOR,W,Fencing,Women's Sabre Team,HTEAM
Bronze Medal,3,03-08-2024,Japan,JPN,W,Fencing,Women's Sabre Team,HTEAM
Gold Medal,1,03-08-2024,France,FRA,X,Judo,Mixed Team,HTEAM
Silver Medal,2,03-08-2024,Japan,JPN,X,Judo,Mixed Team,HTEAM
Bronze Medal,3,03-08-2024,Brazil,BRA,X,Judo,Mixed Team,HTEAM
Bronze Medal,3,03-08-2024,Korea,KOR,X,Judo,Mixed Team,HTEAM
Gold Medal,1,03-08-2024,Great Britain,GBR,M,Rowing,Men's Eight,TEAM
Silver Medal,2,03-08-2024,Netherlands,NED,M,Rowing,Men's Eight,TEAM
Bronze Medal,3,03-08-2024,United States,USA,M,Rowing,Men's Eight,TEAM
Gold Medal,1,03-08-2024,Oliver ZEIDLER,GER,M,Rowing,Men's Single Sculls,ATH
Silver Medal,2,03-08-2024,Yauheni ZALATY,AIN,M,Rowing,Men's Single Sculls,ATH
Bronze Medal,3,03-08-2024,Simon van DORP,NED,M,Rowing,Men's Single Sculls,ATH
Gold Medal,1,03-08-2024,Romania,ROU,W,Rowing,Women's Eight,TEAM
Silver Medal,2,03-08-2024,Canada,CAN,W,Rowing,Women's Eight,TEAM
Bronze Medal,3,03-08-2024,Great Britain,GBR,W,Rowing,Women's Eight,TEAM
Gold Medal,1,03-08-2024,Karolien FLORIJN,NED,W,Rowing,Women's Single Sculls,ATH
Silver Medal,2,03-08-2024,Emma TWIGG,NZL,W,Rowing,Women's Single Sculls,ATH
Bronze Medal,3,03-08-2024,Viktorija SENKUTE,LTU,W,Rowing,Women's Single Sculls,ATH
Gold Medal,1,03-08-2024,Tom REUVENY,ISR,M,Sailing,Men's Windsurfing,ATH
Silver Medal,2,03-08-2024,Grae MORRIS,AUS,M,Sailing,Men's Windsurfing,ATH
Bronze Medal,3,03-08-2024,Luuc van OPZEELAND,NED,M,Sailing,Men's Windsurfing,ATH
Gold Medal,1,03-08-2024,Marta MAGGETTI,ITA,W,Sailing,Women's Windsurfing,ATH
Silver Medal,2,03-08-2024,Sharon KANTOR,ISR,W,Sailing,Women's Windsurfing,ATH
Bronze Medal,3,03-08-2024,Emma WILSON,GBR,W,Sailing,Women's Windsurfing,ATH
Gold Medal,1,03-08-2024,YANG Jiin,KOR,W,Shooting,25m Pistol Women,ATH
Silver Medal,2,03-08-2024,Camille JEDRZEJEWSKI,FRA,W,Shooting,25m Pistol Women,ATH
Bronze Medal,3,03-08-2024,Veronika MAJOR,HUN,W,Shooting,25m Pistol Women,ATH
Gold Medal,1,03-08-2024,Vincent HANCOCK,USA,M,Shooting,Skeet Men,ATH
Silver Medal,2,03-08-2024,Conner Lynn PRINCE,USA,M,Shooting,Skeet Men,ATH
Bronze Medal,3,03-08-2024,LEE Meng Yuan,TPE,M,Shooting,Skeet Men,ATH
Gold Medal,1,03-08-2024,Kristof MILAK,HUN,M,Swimming,Men's 100m Butterfly,ATH
Silver Medal,2,03-08-2024,Josh LIENDO,CAN,M,Swimming,Men's 100m Butterfly,ATH
Bronze Medal,3,03-08-2024,Ilya KHARUN,CAN,M,Swimming,Men's 100m Butterfly,ATH
Gold Medal,1,03-08-2024,United States,USA,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM
Silver Medal,2,03-08-2024,China,CHN,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM
Bronze Medal,3,03-08-2024,Australia,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM
Gold Medal,1,03-08-2024,Summer McINTOSH,CAN,W,Swimming,Women's 200m Individual Medley,ATH
Silver Medal,2,03-08-2024,Kate DOUGLASS,USA,W,Swimming,Women's 200m Individual Medley,ATH
Bronze Medal,3,03-08-2024,Kaylee McKEOWN,AUS,W,Swimming,Women's 200m Individual Medley,ATH
Gold Medal,1,03-08-2024,Katie LEDECKY,USA,W,Swimming,Women's 800m Freestyle,ATH
Silver Medal,2,03-08-2024,Ariarne TITMUS,AUS,W,Swimming,Women's 800m Freestyle,ATH
Bronze Medal,3,03-08-2024,Paige MADDEN,USA,W,Swimming,Women's 800m Freestyle,ATH
Gold Medal,1,03-08-2024,CHEN Meng,CHN,W,Table Tennis,Women's Singles,HATH
Silver Medal,2,03-08-2024,SUN Yingsha,CHN,W,Table Tennis,Women's Singles,HATH
Bronze Medal,3,03-08-2024,Hina HAYATA,JPN,W,Table Tennis,Women's Singles,HATH
Gold Medal,1,03-08-2024,EBDEN/PEERS,AUS,M,Tennis,Men's Doubles,HCOUP
Silver Medal,2,03-08-2024,KRAJICEK/RAM,USA,M,Tennis,Men's Doubles,HCOUP
Bronze Medal,3,03-08-2024,FRITZ/PAUL,USA,M,Tennis,Men's Doubles,HCOUP
Bronze Medal,3,03-08-2024,Lorenzo MUSETTI,ITA,M,Tennis,Men's Singles,HATH
Gold Medal,1,03-08-2024,ZHENG Qinwen,CHN,W,Tennis,Women's Singles,HATH
Silver Medal,2,03-08-2024,Donna VEKIC,CRO,W,Tennis,Women's Singles,HATH
Gold Medal,1,04-08-2024,KIM Woojin,KOR,M,Archery,Men's Individual,HATH
Silver Medal,2,04-08-2024,Brady ELLISON,USA,M,Archery,Men's Individual,HATH
Bronze Medal,3,04-08-2024,LEE Wooseok,KOR,M,Archery,Men's Individual,HATH
Gold Medal,1,04-08-2024,LIU Yang,CHN,M,Artistic Gymnastics,Men's Rings,ATH
Silver Medal,2,04-08-2024,ZOU Jingyuan,CHN,M,Artistic Gymnastics,Men's Rings,ATH
Bronze Medal,3,04-08-2024,Eleftherios PETROUNIAS,GRE,M,Artistic Gymnastics,Men's Rings,ATH
Gold Medal,1,04-08-2024,Carlos Edriel YULO,PHI,M,Artistic Gymnastics,Men's Vault,ATH
Silver Medal,2,04-08-2024,Artur DAVTYAN,ARM,M,Artistic Gymnastics,Men's Vault,ATH
Bronze Medal,3,04-08-2024,Harry HEPWORTH,GBR,M,Artistic Gymnastics,Men's Vault,ATH
Gold Medal,1,04-08-2024,Kaylia NEMOUR,ALG,W,Artistic Gymnastics,Women's Uneven Bars,ATH
Silver Medal,2,04-08-2024,QIU Qiyuan,CHN,W,Artistic Gymnastics,Women's Uneven Bars,ATH
Bronze Medal,3,04-08-2024,Sunisa LEE,USA,W,Artistic Gymnastics,Women's Uneven Bars,ATH
Gold Medal,1,04-08-2024,Noah LYLES,USA,M,Athletics,Men's 100m,ATH
Silver Medal,2,04-08-2024,Kishane THOMPSON,JAM,M,Athletics,Men's 100m,ATH
Bronze Medal,3,04-08-2024,Fred KERLEY,USA,M,Athletics,Men's 100m,ATH
Gold Medal,1,04-08-2024,Ethan KATZBERG,CAN,M,Athletics,Men's Hammer Throw,ATH
Silver Medal,2,04-08-2024,Bence HALASZ,HUN,M,Athletics,Men's Hammer Throw,ATH
Bronze Medal,3,04-08-2024,Mykhaylo KOKHAN,UKR,M,Athletics,Men's Hammer Throw,ATH
Gold Medal,1,04-08-2024,Yaroslava MAHUCHIKH,UKR,W,Athletics,Women's High Jump,ATH
Silver Medal,2,04-08-2024,Nicola OLYSLAGERS,AUS,W,Athletics,Women's High Jump,ATH
Bronze Medal,3,04-08-2024,Iryna GERASHCHENKO,UKR,W,Athletics,Women's High Jump,ATH
Bronze Medal,3,04-08-2024,Eleanor PATTERSON,AUS,W,Athletics,Women's High Jump,ATH
Gold Medal,1,04-08-2024,LEE/WANG,TPE,M,Badminton,Men's Doubles,HCOUP
Silver Medal,2,04-08-2024,LIANG/WANG,CHN,M,Badminton,Men's Doubles,HCOUP
Bronze Medal,3,04-08-2024,CHIA/SOH,MAS,M,Badminton,Men's Doubles,HCOUP
Bronze Medal,,04-08-2024,Gregoria Mariska TUNJUNG,INA,W,Badminton,Women's Singles,HATH
Bronze Medal,3,04-08-2024,Yunior ALCANTARA REYES,DOM,M,Boxing,Men's 51kg,HATH
Bronze Medal,3,04-08-2024,David de PINA,CPV,M,Boxing,Men's 51kg,HATH
Bronze Medal,3,04-08-2024,Wyatt SANFORD,CAN,M,Boxing,Men's 63.5kg,HATH
Bronze Medal,3,04-08-2024,Lasha GURULI,GEO,M,Boxing,Men's 63.5kg,HATH
Bronze Medal,3,04-08-2024,Cristian Javier PINALES,DOM,M,Boxing,Men's 80kg,HATH
Bronze Medal,3,04-08-2024,Arlen LOPEZ CARDONA,CUB,M,Boxing,Men's 80kg,HATH
Bronze Medal,3,04-08-2024,Enmanuel REYES PLA,ESP,M,Boxing,Men's 92kg,HATH
Bronze Medal,3,04-08-2024,Davlat BOLTAEV,TJK,M,Boxing,Men's 92kg,HATH
Bronze Medal,3,04-08-2024,PANG Cholmi,PRK,W,Boxing,Women's 54kg,HATH
Bronze Medal,3,04-08-2024,IM Aeji,KOR,W,Boxing,Women's 54kg,HATH
Gold Medal,1,04-08-2024,Kristen FAULKNER,USA,W,Cycling Road,Women's Road Race,ATH
Silver Medal,2,04-08-2024,Marianne VOS,NED,W,Cycling Road,Women's Road Race,ATH
Bronze Medal,3,04-08-2024,Lotte KOPECKY,BEL,W,Cycling Road,Women's Road Race,ATH
Gold Medal,1,04-08-2024,Jessica von BREDOW-WERNDL,GER,O,Equestrian,Dressage Individual,ATH
Silver Medal,2,04-08-2024,Isabell WERTH,GER,O,Equestrian,Dressage Individual,ATH
Bronze Medal,3,04-08-2024,Charlotte FRY,GBR,O,Equestrian,Dressage Individual,ATH
Gold Medal,1,04-08-2024,Japan,JPN,M,Fencing,Men's Foil Team,HTEAM
Silver Medal,2,04-08-2024,Italy,ITA,M,Fencing,Men's Foil Team,HTEAM
Bronze Medal,3,04-08-2024,France,FRA,M,Fencing,Men's Foil Team,HTEAM
Gold Medal,1,04-08-2024,Scottie SCHEFFLER,USA,M,Golf,Men's Individual Stroke Play,ATH
Silver Medal,2,04-08-2024,Tommy FLEETWOOD,GBR,M,Golf,Men's Individual Stroke Play,ATH
Bronze Medal,3,04-08-2024,MATSUYAMA Hideki,JPN,M,Golf,Men's Individual Stroke Play,ATH
Gold Medal,1,04-08-2024,Francisca CROVETTO CHADID,CHI,W,Shooting,Skeet Women,ATH
Silver Medal,2,04-08-2024,Amber Jo RUTTER,GBR,W,Shooting,Skeet Women,ATH
Bronze Medal,3,04-08-2024,Austen Jewell SMITH,USA,W,Shooting,Skeet Women,ATH
Gold Medal,1,04-08-2024,Bobby FINKE,USA,M,Swimming,Men's 1500m Freestyle,ATH
Silver Medal,2,04-08-2024,Gregorio PALTRINIERI,ITA,M,Swimming,Men's 1500m Freestyle,ATH
Bronze Medal,3,04-08-2024,Daniel WIFFEN,IRL,M,Swimming,Men's 1500m Freestyle,ATH
Gold Medal,1,04-08-2024,China,CHN,M,Swimming,Men's 4 x 100m Medley Relay,TEAM
Silver Medal,2,04-08-2024,United States,USA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM
Bronze Medal,3,04-08-2024,France,FRA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM
Gold Medal,1,04-08-2024,United States,USA,W,Swimming,Women's 4 x 100m Medley Relay,TEAM
Silver Medal,2,04-08-2024,Australia,AUS,W,Swimming,Women's 4 x 100m Medley Relay,TEAM
Bronze Medal,3,04-08-2024,China,CHN,W,Swimming,Women's 4 x 100m Medley Relay,TEAM
Gold Medal,1,04-08-2024,Sarah SJOESTROEM,SWE,W,Swimming,Women's 50m Freestyle,ATH
Silver Medal,2,04-08-2024,Meg HARRIS,AUS,W,Swimming,Women's 50m Freestyle,ATH
Bronze Medal,3,04-08-2024,ZHANG Yufei,CHN,W,Swimming,Women's 50m Freestyle,ATH
Gold Medal,1,04-08-2024,FAN Zhendong,CHN,M,Table Tennis,Men's Singles,HATH
Silver Medal,2,04-08-2024,Truls MOREGARD,SWE,M,Table Tennis,Men's Singles,HATH
Bronze Medal,3,04-08-2024,Felix LEBRUN,FRA,M,Table Tennis,Men's Singles,HATH
Gold Medal,1,04-08-2024,Novak DJOKOVIC,SRB,M,Tennis,Men's Singles,HATH
Silver Medal,2,04-08-2024,Carlos ALCARAZ,ESP,M,Tennis,Men's Singles,HATH
Gold Medal,1,04-08-2024,ERRANI/PAOLINI,ITA,W,Tennis,Women's Doubles,HCOUP
Silver Medal,2,04-08-2024,ANDREEVA/SHNAIDER,AIN,W,Tennis,Women's Doubles,HCOUP
Bronze Medal,3,04-08-2024,BUCSA/SORRIBES TORMO,ESP,W,Tennis,Women's Doubles,HCOUP
Gold Medal,1,05-08-2024,Netherlands,NED,M,3x3 Basketball,Men,HTEAM
Silver Medal,2,05-08-2024,France,FRA,M,3x3 Basketball,Men,HTEAM
Bronze Medal,3,05-08-2024,Lithuania,LTU,M,3x3 Basketball,Men,HTEAM
Gold Medal,1,05-08-2024,Germany,GER,W,3x3 Basketball,Women,HTEAM
Silver Medal,2,05-08-2024,Spain,ESP,W,3x3 Basketball,Women,HTEAM
Bronze Medal,3,05-08-2024,United States,USA,W,3x3 Basketball,Women,HTEAM
Gold Medal,1,05-08-2024,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's Horizontal Bar,ATH
Silver Medal,2,05-08-2024,Angel BARAJAS,COL,M,Artistic Gymnastics,Men's Horizontal Bar,ATH
Bronze Medal,3,05-08-2024,ZHANG Boheng,CHN,M,Artistic Gymnastics,Men's Horizontal Bar,ATH
Bronze Medal,3,05-08-2024,TANG Chia-Hung,TPE,M,Artistic Gymnastics,Men's Horizontal Bar,ATH
Gold Medal,1,05-08-2024,ZOU Jingyuan,CHN,M,Artistic Gymnastics,Men's Parallel Bars,ATH
Silver Medal,2,05-08-2024,Illia KOVTUN,UKR,M,Artistic Gymnastics,Men's Parallel Bars,ATH
Bronze Medal,3,05-08-2024,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's Parallel Bars,ATH
Gold Medal,1,05-08-2024,Alice D'AMATO,ITA,W,Artistic Gymnastics,Women's Balance Beam,ATH
Silver Medal,2,05-08-2024,ZHOU Yaqin,CHN,W,Artistic Gymnastics,Women's Balance Beam,ATH
Bronze Medal,3,05-08-2024,Manila ESPOSITO,ITA,W,Artistic Gymnastics,Women's Balance Beam,ATH
Gold Medal,1,05-08-2024,Rebeca ANDRADE,BRA,W,Artistic Gymnastics,Women's Floor Exercise,ATH
Silver Medal,2,05-08-2024,Simone BILES,USA,W,Artistic Gymnastics,Women's Floor Exercise,ATH
Bronze Medal,3,05-08-2024,Ana BARBOSU,ROU,W,Artistic Gymnastics,Women's Floor Exercise,ATH
Gold Medal,1,05-08-2024,Armand DUPLANTIS,SWE,M,Athletics,Men's Pole Vault,ATH
Silver Medal,2,05-08-2024,Sam KENDRICKS,USA,M,Athletics,Men's Pole Vault,ATH
Bronze Medal,3,05-08-2024,Emmanouil KARALIS,GRE,M,Athletics,Men's Pole Vault,ATH
Gold Medal,1,05-08-2024,Beatrice CHEBET,KEN,W,Athletics,Women's 5000m,ATH
Silver Medal,2,05-08-2024,Faith KIPYEGON,KEN,W,Athletics,Women's 5000m,ATH
Bronze Medal,3,05-08-2024,Sifan HASSAN,NED,W,Athletics,Women's 5000m,ATH
Gold Medal,1,05-08-2024,Keely HODGKINSON,GBR,W,Athletics,Women's 800m,ATH
Silver Medal,2,05-08-2024,Tsige DUGUMA,ETH,W,Athletics,Women's 800m,ATH
Bronze Medal,3,05-08-2024,Mary MORAA,KEN,W,Athletics,Women's 800m,ATH
Gold Medal,1,05-08-2024,Valarie ALLMAN,USA,W,Athletics,Women's Discus Throw,ATH
Silver Medal,2,05-08-2024,FENG Bin,CHN,W,Athletics,Women's Discus Throw,ATH
Bronze Medal,3,05-08-2024,Sandra ELKASEVIC,CRO,W,Athletics,Women's Discus Throw,ATH
Gold Medal,1,05-08-2024,Viktor AXELSEN,DEN,M,Badminton,Men's Singles,HATH
Silver Medal,2,05-08-2024,Kunlavut VITIDSARN,THA,M,Badminton,Men's Singles,HATH
Bronze Medal,3,05-08-2024,Zii Jia LEE,MAS,M,Badminton,Men's Singles,HATH
Gold Medal,1,05-08-2024,AN Se Young,KOR,W,Badminton,Women's Singles,HATH
Silver Medal,2,05-08-2024,HE Bing Jiao,CHN,W,Badminton,Women's Singles,HATH
Gold Medal,1,05-08-2024,Finn BUTCHER,NZL,M,Canoe Slalom,Men's Kayak Cross,ATH
Silver Medal,2,05-08-2024,Joseph CLARKE,GBR,M,Canoe Slalom,Men's Kayak Cross,ATH
Bronze Medal,3,05-08-2024,Noah HEGGE,GER,M,Canoe Slalom,Men's Kayak Cross,ATH
Gold Medal,1,05-08-2024,Noemie FOX,AUS,W,Canoe Slalom,Women's Kayak Cross,ATH
Silver Medal,2,05-08-2024,Angele HUG,FRA,W,Canoe Slalom,Women's Kayak Cross,ATH
Bronze Medal,3,05-08-2024,Kimberley WOODS,GBR,W,Canoe Slalom,Women's Kayak Cross,ATH
Gold Medal,1,05-08-2024,Great Britain,GBR,W,Cycling Track,Women's Team Sprint,TEAM
Silver Medal,2,05-08-2024,New Zealand,NZL,W,Cycling Track,Women's Team Sprint,TEAM
Bronze Medal,3,05-08-2024,Germany,GER,W,Cycling Track,Women's Team Sprint,TEAM
Gold Medal,1,05-08-2024,LI Yuehong,CHN,M,Shooting,25m Rapid Fire Pistol Men,ATH
Silver Medal,2,05-08-2024,CHO Yeongjae,KOR,M,Shooting,25m Rapid Fire Pistol Men,ATH
Bronze Medal,3,05-08-2024,WANG Xinjie,CHN,M,Shooting,25m Rapid Fire Pistol Men,ATH
Gold Medal,1,05-08-2024,Italy 1,ITA,X,Shooting,Skeet Mixed Team,HTEAM
Silver Medal,2,05-08-2024,United States 1,USA,X,Shooting,Skeet Mixed Team,HTEAM
Bronze Medal,3,05-08-2024,China,CHN,X,Shooting,Skeet Mixed Team,HTEAM
Gold Medal,1,05-08-2024,Kauli VAAST,FRA,M,Surfing,Men,HATH
Silver Medal,2,05-08-2024,Jack ROBINSON,AUS,M,Surfing,Men,HATH
Bronze Medal,3,05-08-2024,Gabriel MEDINA,BRA,M,Surfing,Men,HATH
Gold Medal,1,05-08-2024,Caroline MARKS,USA,W,Surfing,Women,HATH
Silver Medal,2,05-08-2024,Tatiana WESTON-WEBB,BRA,W,Surfing,Women,HATH
Bronze Medal,3,05-08-2024,Johanne DEFAY,FRA,W,Surfing,Women,HATH
Gold Medal,1,05-08-2024,Germany,GER,X,Triathlon,Mixed Relay,TEAM
Silver Medal,2,05-08-2024,United States,USA,X,Triathlon,Mixed Relay,TEAM
Bronze Medal,3,05-08-2024,Great Britain,GBR,X,Triathlon,Mixed Relay,TEAM
Gold Medal,1,06-08-2024,Cole HOCKER,USA,M,Athletics,Men's 1500m,ATH
Silver Medal,2,06-08-2024,Josh KERR,GBR,M,Athletics,Men's 1500m,ATH
Bronze Medal,3,06-08-2024,Yared NUGUSE,USA,M,Athletics,Men's 1500m,ATH
Gold Medal,1,06-08-2024,Miltiadis TENTOGLOU,GRE,M,Athletics,Men's Long Jump,ATH
Silver Medal,2,06-08-2024,Wayne PINNOCK,JAM,M,Athletics,Men's Long Jump,ATH
Bronze Medal,3,06-08-2024,Mattia FURLANI,ITA,M,Athletics,Men's Long Jump,ATH
Gold Medal,1,06-08-2024,Gabrielle THOMAS,USA,W,Athletics,Women's 200m,ATH
Silver Medal,2,06-08-2024,Julien ALFRED,LCA,W,Athletics,Women's 200m,ATH
Bronze Medal,3,06-08-2024,Brittany BROWN,USA,W,Athletics,Women's 200m,ATH
Gold Medal,1,06-08-2024,Winfred YAVI,BRN,W,Athletics,Women's 3000m Steeplechase,ATH
Silver Medal,2,06-08-2024,Peruth CHEMUTAI,UGA,W,Athletics,Women's 3000m Steeplechase,ATH
Bronze Medal,3,06-08-2024,Faith CHEROTICH,KEN,W,Athletics,Women's 3000m Steeplechase,ATH
Gold Medal,1,06-08-2024,Camryn ROGERS,CAN,W,Athletics,Women's Hammer Throw,ATH
Silver Medal,2,06-08-2024,Annette Nneka ECHIKUNWOKE,USA,W,Athletics,Women's Hammer Throw,ATH
Bronze Medal,3,06-08-2024,ZHAO Jie,CHN,W,Athletics,Women's Hammer Throw,ATH
Bronze Medal,3,06-08-2024,Omari JONES,USA,M,Boxing,Men's 71kg,HATH
Bronze Medal,3,06-08-2024,Lewis RICHARDSON,GBR,M,Boxing,Men's 71kg,HATH
Bronze Medal,3,06-08-2024,Nazym KYZAIBAY,KAZ,W,Boxing,Women's 50kg,HATH
Bronze Medal,3,06-08-2024,Aira VILLEGAS,PHI,W,Boxing,Women's 50kg,HATH
Gold Medal,1,06-08-2024,Kellie HARRINGTON,IRL,W,Boxing,Women's 60kg,HATH
Silver Medal,2,06-08-2024,YANG Wenlu,CHN,W,Boxing,Women's 60kg,HATH
Bronze Medal,3,06-08-2024,Janjaem SUWANNAPHENG,THA,W,Boxing,Women's 66kg,HATH
Bronze Medal,3,06-08-2024,CHEN Nien Chin,TPE,W,Boxing,Women's 66kg,HATH
Gold Medal,1,06-08-2024,Netherlands,NED,M,Cycling Track,Men's Team Sprint,TEAM
Silver Medal,2,06-08-2024,Great Britain,GBR,M,Cycling Track,Men's Team Sprint,TEAM
Bronze Medal,3,06-08-2024,Australia,AUS,M,Cycling Track,Men's Team Sprint,TEAM
Gold Medal,1,06-08-2024,QUAN Hongchan,CHN,W,Diving,Women's 10m Platform,ATH
Silver Medal,2,06-08-2024,CHEN Yuxi,CHN,W,Diving,Women's 10m Platform,ATH
Bronze Medal,3,06-08-2024,KIM Mi Rae,PRK,W,Diving,Women's 10m Platform,ATH
Gold Medal,1,06-08-2024,Christian KUKUK,GER,O,Equestrian,Jumping Individual,ATH
Silver Medal,2,06-08-2024,Steve GUERDAT,SUI,O,Equestrian,Jumping Individual,ATH
Bronze Medal,3,06-08-2024,Maikel van der VLEUTEN,NED,O,Equestrian,Jumping Individual,ATH
Gold Medal,1,06-08-2024,Arisa TREW,AUS,W,Skateboarding,Women's Park,ATH
Silver Medal,2,06-08-2024,HIRAKI Cocona,JPN,W,Skateboarding,Women's Park,ATH
Bronze Medal,3,06-08-2024,Sky BROWN,GBR,W,Skateboarding,Women's Park,ATH
Gold Medal,1,06-08-2024,Mijain LOPEZ NUNEZ,CUB,M,Wrestling,Men's Greco-Roman 130kg,HATH
Silver Medal,2,06-08-2024,Yasmani ACOSTA FERNANDEZ,CHI,M,Wrestling,Men's Greco-Roman 130kg,HATH
Bronze Medal,3,06-08-2024,Amin MIRZAZADEH,IRI,M,Wrestling,Men's Greco-Roman 130kg,HATH
Bronze Medal,3,06-08-2024,MENG Lingzhe,CHN,M,Wrestling,Men's Greco-Roman 130kg,HATH
Gold Medal,1,06-08-2024,FUMITA Kenichiro,JPN,M,Wrestling,Men's Greco-Roman 60kg,HATH
Silver Medal,2,06-08-2024,CAO Liguo,CHN,M,Wrestling,Men's Greco-Roman 60kg,HATH
Bronze Medal,3,06-08-2024,Zholaman SHARSHENBEKOV,KGZ,M,Wrestling,Men's Greco-Roman 60kg,HATH
Bronze Medal,3,06-08-2024,RI Se Ung,PRK,M,Wrestling,Men's Greco-Roman 60kg,HATH
Gold Medal,1,06-08-2024,Amit ELOR,USA,W,Wrestling,Women's Freestyle 68kg,HATH
Silver Medal,2,06-08-2024,Meerim ZHUMANAZAROVA,KGZ,W,Wrestling,Women's Freestyle 68kg,HATH
Bronze Medal,3,06-08-2024,Buse CAVUSOGLU TOSUN,TUR,W,Wrestling,Women's Freestyle 68kg,HATH
Bronze Medal,3,06-08-2024,OZAKI Nonoka,JPN,W,Wrestling,Women's Freestyle 68kg,HATH
Gold Medal,1,07-08-2024,China,CHN,O,Artistic Swimming,Team,TEAM
Silver Medal,2,07-08-2024,United States,USA,O,Artistic Swimming,Team,TEAM
Bronze Medal,3,07-08-2024,Spain,ESP,O,Artistic Swimming,Team,TEAM
Gold Medal,1,07-08-2024,MARTIN A/PEREZ M,ESP,X,Athletics,Marathon Race Walk Relay Mixed,TEAM
Silver Medal,2,07-08-2024,PINTADO B/MOREJON G,ECU,X,Athletics,Marathon Race Walk Relay Mixed,TEAM
Bronze Medal,3,07-08-2024,COWLEY R/MONTAG J,AUS,X,Athletics,Marathon Race Walk Relay Mixed,TEAM
Gold Medal,1,07-08-2024,Soufiane EL BAKKALI,MAR,M,Athletics,Men's 3000m Steeplechase,ATH
Silver Medal,2,07-08-2024,Kenneth ROOKS,USA,M,Athletics,Men's 3000m Steeplechase,ATH
